   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP    VID   POWER
2021-01-07  12:13:42  28.82   98.7  100.0       0   82   1.0261   27.1   PL2
2021-01-07  12:13:42  34.87   96.6  100.0       0   82   1.1204   43.4   PL2
2021-01-07  12:13:42  35.86   93.0  100.0       0   83   1.1794   33.8   PL2
2021-01-07  12:13:42  33.18   93.5  100.0       0   75   0.8250   29.9   PL2
2021-01-07  12:13:42  28.45   85.8  100.0       0   74   0.7863   20.2   PL2
2021-01-07  12:13:43  27.94   92.6  100.0       0   73   0.8281   19.8   PL2
2021-01-07  12:13:43  28.09   93.0  100.0       0   72   0.9156   20.2   PL2
2021-01-07  12:13:43  28.12   90.9  100.0       0   72   0.9133   20.0   PL2
2021-01-07  12:13:43  28.32   92.6  100.0       0   73   1.0103   19.8   PL2
2021-01-07  12:13:43  28.42   89.2  100.0       0   72   0.8387   19.9   PL2
2021-01-07  12:13:43  27.67   95.7  100.0       0   72   0.7913   20.0   PL2
2021-01-07  12:13:43  28.47   91.8  100.0       0   73   0.8813   20.1   PL2
2021-01-07  12:13:43  27.95   93.1  100.0       0   72   0.9448   20.8   PL2
2021-01-07  12:13:44  27.43   96.6  100.0       0   72   0.8889   19.7   PL2
2021-01-07  12:13:44  27.64   91.5  100.0       0   71   0.9795   19.1   PL2
2021-01-07  12:13:44  27.79   89.1  100.0       0   72   1.0048   19.9   PL2
2021-01-07  12:13:44  28.87   89.2  100.0       0   74   1.0081   20.0   PL2
2021-01-07  12:13:44  28.58   89.4  100.0       0   72   0.9561   19.8   PL2
2021-01-07  12:13:44  28.52   88.9  100.0       0   71   0.9707   20.0   PL2
2021-01-07  12:13:44  28.53   89.6  100.0       0   71   1.0017   19.9   PL2
2021-01-07  12:13:44  28.01   94.9  100.0       0   72   0.8929   19.9   PL2
2021-01-07  12:13:45  27.79   92.0  100.0       0   72   0.9393   19.9   PL2
2021-01-07  12:13:45  28.18   91.8  100.0       0   73   0.9412   20.1   PL2
2021-01-07  12:13:45  28.50   89.5  100.0       0   72   1.0659   19.9   PL2
2021-01-07  12:13:45  28.51   88.5  100.0       0   72   0.9139   19.8   PL2
2021-01-07  12:13:45  27.92   94.0  100.0       0   71   0.8417   20.5   PL2
2021-01-07  12:13:45  28.73   82.6  100.0       0   71   0.9078   18.6   PL2
2021-01-07  12:13:45  29.44   84.8  100.0       0   72   0.9159   20.4   PL2
2021-01-07  12:13:46  29.48   83.3  100.0       0   71   0.9888   19.9   PL2
2021-01-07  12:13:46  29.70   82.8  100.0       0   72   0.8544   20.0   PL2
2021-01-07  12:13:46  32.69   75.1  100.0       0   72   1.2017   19.4   PL2
2021-01-07  12:13:46  34.48   63.1  100.0       0   73   0.9382   19.8   PL2
2021-01-07  12:13:46  28.35   98.8  100.0       0   73   0.9130   20.0   PL2
2021-01-07  12:13:46  28.52   99.0  100.0       0   72   0.9121   20.0   PL2
2021-01-07  12:13:46  29.05   95.9  100.0       0   73   0.8746   20.0   PL2
2021-01-07  12:13:46  28.58   94.8  100.0       0   73   0.8918   19.8   PL2
2021-01-07  12:13:47  29.55   88.6  100.0       0   72   0.9089   20.1   PL2
2021-01-07  12:13:47  31.28   74.8  100.0       0   71   0.8567   20.0   PL2
2021-01-07  12:13:47  30.77   80.4  100.0       0   72   0.8392   20.0   PL2
2021-01-07  12:13:47  31.28   74.2  100.0       0   71   0.9749   19.9   PL2
2021-01-07  12:13:47  31.14   77.5  100.0       0   72   0.9661   20.0   PL2
2021-01-07  12:13:47  30.06   85.8  100.0       0   72   1.0073   20.0   PL2
2021-01-07  12:13:47  30.63   78.6  100.0       0   71   1.1295   19.9   PL2
2021-01-07  12:13:47  30.69   76.7  100.0       0   72   0.8921   20.0   PL2
2021-01-07  12:13:48  30.74   77.5  100.0       0   70   0.9448   19.8   PL2
2021-01-07  12:13:48  30.37   80.5  100.0       0   72   0.9810   20.1   PL2
2021-01-07  12:13:48  31.09   78.2  100.0       0   73   1.0311   19.9   PL2
2021-01-07  12:13:48  30.27   83.1  100.0       0   72   1.0774   19.8   PL2
2021-01-07  12:13:48  31.13   75.7  100.0       0   72   0.8373   20.4   PL2
2021-01-07  12:13:48  30.93   80.2  100.0       0   72   0.9012   19.9   PL2
2021-01-07  12:13:48  31.56   71.6  100.0       0   71   1.0304   20.1   PL2
