   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP    VID   POWER
2021-01-09  16:45:31  33.38   64.4  100.0       0   66   1.0150   19.6   PL2
2021-01-09  16:45:31  33.18   64.0  100.0       0   65   1.0095   19.8   PL2
2021-01-09  16:45:32  32.88   64.3  100.0       0   66   1.0676   19.9   PL2
2021-01-09  16:45:32  33.41   64.7  100.0       0   65   0.9517   20.5   PL2
2021-01-09  16:45:32  32.53   67.8  100.0       0   65   0.9535   19.3   PL2
2021-01-09  16:45:32  32.40   70.5  100.0       0   65   1.0605   20.4   PL2
2021-01-09  16:45:32  32.99   64.3  100.0       0   66   1.0079   19.8   PL2
2021-01-09  16:45:32  33.17   62.8  100.0       0   65   0.9995   19.6   PL2
2021-01-09  16:45:32  33.46   64.0  100.0       0   65   1.0034   20.1   PL2
2021-01-09  16:45:32  32.14   71.4  100.0       0   66   0.9703   20.2   PL2
2021-01-09  16:45:33  31.35   75.5  100.0       0   65   0.9674   20.1   PL2
2021-01-09  16:45:33  33.62   63.4  100.0       0   65   1.0861   19.8   PL2
2021-01-09  16:45:33  32.85   66.9  100.0       0   64   0.9702   20.3   PL2
2021-01-09  16:45:33  32.99   66.8  100.0       0   65   0.9064   19.3   PL2
2021-01-09  16:45:33  33.12   64.7  100.0       0   65   0.9742   19.9   PL2
2021-01-09  16:45:33  33.39   62.1  100.0       0   65   1.1035   20.5   PL2
2021-01-09  16:45:33  33.15   64.5  100.0       0   65   1.0632   19.8   PL2
2021-01-09  16:45:33  33.32   67.2  100.0       0   65   1.0662   19.6   PL2
2021-01-09  16:45:34  32.49   69.1  100.0       0   64   1.2140   19.9   PL2
2021-01-09  16:45:34  33.78   62.2  100.0       0   65   1.0619   20.3   PL2
2021-01-09  16:45:34  32.71   69.5  100.0       0   65   0.9927   19.8   PL2
2021-01-09  16:45:34  33.38   64.5  100.0       0   64   1.1786   19.9   PL2
2021-01-09  16:45:34  32.90   65.8  100.0       0   66   1.1115   20.3   PL2
2021-01-09  16:45:34  33.24   65.5  100.0       0   65   0.9760   19.7   PL2
2021-01-09  16:45:34  34.70   57.5  100.0       0   65   1.1641   19.5   PL2
2021-01-09  16:45:34  32.77   65.4  100.0       0   65   0.9496   20.2   PL2
2021-01-09  16:45:35  33.01   63.8  100.0       0   64   1.1635   19.9   PL2
